id,key,value,module,section,type,level,summary,detail
712,redis_exporter_port,9121,REDIS,REDIS,port,C,"redis exporter listen port, 9121 by default",
713,redis_exporter_options,,REDIS,REDIS,string,C/I,cli args and extra options for redis exporter,
720,redis_safeguard,False,REDIS,REDIS,bool,C,prevent purging running redis instance?,
721,redis_clean,True,REDIS,REDIS,bool,C,purging existing redis during init?,
722,redis_rmdata,True,REDIS,REDIS,bool,A,remove redis data when purging redis server?,
723,redis_mode,standalone,REDIS,REDIS,enum,C,"redis mode: standalone,cluster,sentinel",
724,redis_conf,redis.conf,REDIS,REDIS,string,C,"redis config template path, except sentinel",
725,redis_bind_address,0.0.0.0,REDIS,REDIS,ip,C,"redis bind address, empty string will use host ip",
726,redis_max_memory,1GB,REDIS,REDIS,size,C/I,max memory used by each redis instance,
727,redis_mem_policy,allkeys-lru,REDIS,REDIS,enum,C,redis memory eviction policy,
728,redis_password,,REDIS,REDIS,password,C,"redis password, empty string will disable password",
729,redis_rdb_save,['1200 1'],REDIS,REDIS,string[],C,"redis rdb save directives, disable with empty list",
730,redis_aof_enabled,False,REDIS,REDIS,bool,C,enable redis append only file?,
731,redis_rename_commands,{},REDIS,REDIS,dict,C,rename redis dangerous commands,
732,redis_cluster_replicas,1,REDIS,REDIS,int,C,replica number for one master in redis cluster,
801,pg_mode,pgsql,PGSQL,PG_ID,enum,C,"pgsql cluster mode: pgsql,citus,gpsql",
802,pg_cluster,,PGSQL,PG_ID,string,C,"pgsql cluster name, REQUIRED identity parameter",
803,pg_seq,,PGSQL,PG_ID,int,I,"pgsql instance seq number, REQUIRED identity parameter",
804,pg_role,replica,PGSQL,PG_ID,enum,I,"pgsql role, REQUIRED, could be primary,replica,offline",
805,pg_instances,,PGSQL,PG_ID,dict,I,define multiple pg instances on node in `{port:ins_vars}` format,
806,pg_upstream,,PGSQL,PG_ID,ip,I,repl upstream ip addr for standby cluster or cascade replica,
807,pg_shard,,PGSQL,PG_ID,string,C,"pgsql shard name, optional identity for sharding clusters",
808,pg_group,,PGSQL,PG_ID,int,C,"pgsql shard index number, optional identity for sharding clusters",
809,gp_role,master,PGSQL,PG_ID,enum,C,"greenplum role of this cluster, could be master or segment",
810,pg_exporters,{},PGSQL,PG_ID,dict,C,additional pg_exporters to monitor remote postgres instances,
811,pg_offline_query,False,PGSQL,PG_ID,bool,I,set to true to enable offline query on this instance,
820,pg_users,[],PGSQL,PG_BUSINESS,user[],C,postgres business users,
821,pg_databases,[],PGSQL,PG_BUSINESS,database[],C,postgres business databases,
822,pg_services,[],PGSQL,PG_BUSINESS,service[],C,postgres business services,
823,pg_hba_rules,[],PGSQL,PG_BUSINESS,hba[],C,business hba rules for postgres,
824,pgb_hba_rules,[],PGSQL,PG_BUSINESS,hba[],C,business hba rules for pgbouncer,
831,pg_replication_username,replicator,PGSQL,PG_BUSINESS,username,G,"postgres replication username, `replicator` by default",
832,pg_replication_password,DBUser.Replicator,PGSQL,PG_BUSINESS,password,G,"postgres replication password, `DBUser.Replicator` by default",
833,pg_admin_username,dbuser_dba,PGSQL,PG_BUSINESS,username,G,"postgres admin username, `dbuser_dba` by default",
834,pg_admin_password,DBUser.DBA,PGSQL,PG_BUSINESS,password,G,"postgres admin password in plain text, `DBUser.DBA` by default",
835,pg_monitor_username,dbuser_monitor,PGSQL,PG_BUSINESS,username,G,"postgres monitor username, `dbuser_monitor` by default",
836,pg_monitor_password,DBUser.Monitor,PGSQL,PG_BUSINESS,password,G,"postgres monitor password, `DBUser.Monitor` by default",
837,pg_dbsu_password,,PGSQL,PG_BUSINESS,password,G/C,"postgres dbsu password, empty string disable it by default",
840,pg_dbsu,postgres,PGSQL,PG_INSTALL,username,C,"os dbsu name, postgres by default, better not change it",
841,pg_dbsu_uid,26,PGSQL,PG_INSTALL,int,C,"os dbsu uid and gid, 26 for default postgres users and groups",
842,pg_dbsu_sudo,limit,PGSQL,PG_INSTALL,enum,C,"dbsu sudo privilege, none,limit,all,nopass. limit by default",
843,pg_dbsu_home,/var/lib/pgsql,PGSQL,PG_INSTALL,path,C,"postgresql home directory, `/var/lib/pgsql` by default",
844,pg_dbsu_ssh_exchange,True,PGSQL,PG_INSTALL,bool,C,exchange postgres dbsu ssh key among same pgsql cluster,
845,pg_version,15,PGSQL,PG_INSTALL,enum,C,"postgres major version to be installed, 15 by default",
846,pg_bin_dir,/opt/CrystalDB/pgsql/bin,PGSQL,PG_INSTALL,path,C,"postgres binary dir, `/opt/CrystalDB/pgsql/bin` by default",
847,pg_log_dir,/crystaldb/log/postgres,PGSQL,PG_INSTALL,path,C,"postgres log dir, `/crystaldb/log/postgres` by default",
848,pg_packages,"['postgresql${pg_version}*', 'pgbouncer pg_exporter pgbadger vip-manager patroni patroni-etcd pgbackrest']",PGSQL,PG_INSTALL,string[],C,"pg packages to be installed, `${pg_version}` will be replaced",
849,pg_extensions,"['pg_repack_${pg_version} wal2json_${pg_version}', 'postgis33_${pg_version} postgis33_${pg_version}-devel postgis33_${pg_version}-utils', 'timescaledb-2-postgresql-${pg_version}', 'citus*${pg_version}*', 'pgvector_${pg_version}*']",PGSQL,PG_INSTALL,string[],C,"pg extensions to be installed, `${pg_version}` will be replaced",
850,pg_safeguard,False,PGSQL,PG_BOOTSTRAP,bool,G/C/A,prevent purging running postgres instance? false by default,
851,pg_clean,True,PGSQL,PG_BOOTSTRAP,bool,G/C/A,purging existing postgres during pgsql init? true by default,
852,pg_data,/var/lib/crys/15/data,PGSQL,PG_BOOTSTRAP,path,C,"postgres data directory, `/var/lib/crys/15/data` by default",
853,pg_fs_main,/data,PGSQL,PG_BOOTSTRAP,path,C,"mountpoint/path for postgres main data, `/data` by default",
854,pg_fs_bkup,/data/backups,PGSQL,PG_BOOTSTRAP,path,C,"mountpoint/path for pg backup data, `/data/backup` by default",
855,pg_storage_type,SSD,PGSQL,PG_BOOTSTRAP,enum,C,"storage type for pg main data, SSD,HDD, SSD by default",
856,pg_dummy_filesize,64MiB,PGSQL,PG_BOOTSTRAP,size,C,"size of `/crystaldb/dummy`, hold 64MB disk space for emergency use",
857,pg_listen,0.0.0.0,PGSQL,PG_BOOTSTRAP,ip(s),C/I,"postgres/pgbouncer listen addresses, comma separated list",
858,pg_port,5432,PGSQL,PG_BOOTSTRAP,port,C,"postgres listen port, 5432 by default",
859,pg_localhost,/var/run/postgresql,PGSQL,PG_BOOTSTRAP,path,C,postgres unix socket dir for localhost connection,
860,pg_namespace,/pg,PGSQL,PG_BOOTSTRAP,path,C,"top level key namespace in etcd, used by patroni & vip",
861,patroni_enabled,True,PGSQL,PG_BOOTSTRAP,bool,C,"if disabled, no postgres cluster will be created during init",
862,patroni_mode,default,PGSQL,PG_BOOTSTRAP,enum,C,"patroni working mode: default,pause,remove",
863,patroni_port,8008,PGSQL,PG_BOOTSTRAP,port,C,"patroni listen port, 8008 by default",
864,patroni_log_dir,/crystaldb/log/patroni,PGSQL,PG_BOOTSTRAP,path,C,"patroni log dir, `/crystaldb/log/patroni` by default",
865,patroni_ssl_enabled,False,PGSQL,PG_BOOTSTRAP,bool,G,secure patroni RestAPI communications with SSL?,
866,patroni_watchdog_mode,off,PGSQL,PG_BOOTSTRAP,enum,C,"patroni watchdog mode: automatic,required,off. off by default",
867,patroni_username,postgres,PGSQL,PG_BOOTSTRAP,username,C,"patroni restapi username, `postgres` by default",
868,patroni_password,Patroni.API,PGSQL,PG_BOOTSTRAP,password,C,"patroni restapi password, `Patroni.API` by default",
869,patroni_citus_db,postgres,PGSQL,PG_BOOTSTRAP,string,C,"citus database managed by patroni, postgres by default",
870,pg_conf,oltp.yml,PGSQL,PG_BOOTSTRAP,enum,C,"config template: oltp,olap,crit,tiny. `oltp.yml` by default",
871,pg_max_conn,auto,PGSQL,PG_BOOTSTRAP,int,C,"postgres max connections, `auto` will use recommended value",
872,pg_shared_buffer_ratio,0.25,PGSQL,PG_BOOTSTRAP,float,C,"postgres shared buffer memory ratio, 0.25 by default, 0.1~0.4",
873,pg_rto,30,PGSQL,PG_BOOTSTRAP,int,C,"recovery time objective in seconds,  `30s` by default",
874,pg_rpo,1048576,PGSQL,PG_BOOTSTRAP,int,C,"recovery point objective in bytes, `1MiB` at most by default",
875,pg_libs,"timescaledb, pg_stat_statements, auto_explain",PGSQL,PG_BOOTSTRAP,string,C,"preloaded libraries, `pg_stat_statements,auto_explain` by default",
876,pg_delay,0,PGSQL,PG_BOOTSTRAP,interval,I,replication apply delay for standby cluster leader,
877,pg_checksum,False,PGSQL,PG_BOOTSTRAP,bool,C,enable data checksum for postgres cluster?,
878,pg_pwd_enc,scram-sha-256,PGSQL,PG_BOOTSTRAP,enum,C,"passwords encryption algorithm: md5,scram-sha-256",
879,pg_encoding,UTF8,PGSQL,PG_BOOTSTRAP,enum,C,"database cluster encoding, `UTF8` by default",
880,pg_locale,C,PGSQL,PG_BOOTSTRAP,enum,C,"database cluster local, `C` by default",
881,pg_lc_collate,C,PGSQL,PG_BOOTSTRAP,enum,C,"database cluster collate, `C` by default",
882,pg_lc_ctype,en_US.UTF8,PGSQL,PG_BOOTSTRAP,enum,C,"database character type, `en_US.UTF8` by default",
890,pgbouncer_enabled,True,PGSQL,PG_BOOTSTRAP,bool,C,"if disabled, pgbouncer will not be launched on pgsql host",
891,pgbouncer_port,6432,PGSQL,PG_BOOTSTRAP,port,C,"pgbouncer listen port, 6432 by default",
892,pgbouncer_log_dir,/crystaldb/log/pgbouncer,PGSQL,PG_BOOTSTRAP,path,C,"pgbouncer log dir, `/crystaldb/log/pgbouncer` by default",
893,pgbouncer_auth_query,False,PGSQL,PG_BOOTSTRAP,bool,C,query postgres to retrieve unlisted business users?,
894,pgbouncer_poolmode,transaction,PGSQL,PG_BOOTSTRAP,enum,C,"pooling mode: transaction,session,statement, transaction by default",
895,pgbouncer_sslmode,disable,PGSQL,PG_BOOTSTRAP,enum,C,"pgbouncer client ssl mode, disable by default",
900,pg_provision,True,PGSQL,PG_PROVISION,bool,C,provision postgres cluster after bootstrap,
901,pg_init,pg-init,PGSQL,PG_PROVISION,string,G/C,"provision init script for cluster template, `pg-init` by default",
902,pg_default_roles,"[{'name': 'dbrole_readonly', 'login': False, 'comment': 'role for global read-only access'}, {'name': 'dbrole_offline', 'login': False, 'comment': 'role for restricted read-only access'}, {'name': 'dbrole_readwrite', 'login': False, 'roles': ['dbrole_readonly'], 'comment': 'role for global read-write access'}, {'name': 'dbrole_admin', 'login': False, 'roles': ['pg_monitor', 'dbrole_readwrite'], 'comment': 'role for object creation'}, {'name': 'postgres', 'comment': 'system superuser', 'superuser': True}, {'name': 'replicator', 'roles': ['pg_monitor', 'dbrole_readonly'], 'comment': 'system replicator', 'replication': True}, {'name': 'dbuser_dba', 'roles': ['dbrole_admin'], 'comment': 'pgsql admin user', 'pgbouncer': True, 'pool_mode': 'session', 'superuser': True, 'pool_connlimit': 16}, {'name': 'dbuser_monitor', 'roles': ['pg_monitor'], 'comment': 'pgsql monitor user', 'pgbouncer': True, 'pool_mode': 'session', 'parameters': {'log_min_duration_statement': 1000}, 'pool_connlimit': 8}]",PGSQL,PG_PROVISION,role[],G/C,default roles and users in postgres cluster,
903,pg_default_privileges,"['GRANT USAGE      ON SCHEMAS   TO dbrole_readonly', 'GRANT SELECT     ON TABLES    TO dbrole_readonly', 'GRANT SELECT     ON SEQUENCES TO dbrole_readonly', 'GRANT EXECUTE    ON FUNCTIONS TO dbrole_readonly', 'GRANT USAGE      ON SCHEMAS   TO dbrole_offline', 'GRANT SELECT     ON TABLES    TO dbrole_offline', 'GRANT SELECT     ON SEQUENCES TO dbrole_offline', 'GRANT EXECUTE    ON FUNCTIONS TO dbrole_offline', 'GRANT INSERT     ON TABLES    TO dbrole_readwrite', 'GRANT UPDATE     ON TABLES    TO dbrole_readwrite', 'GRANT DELETE     ON TABLES    TO dbrole_readwrite', 'GRANT USAGE      ON SEQUENCES TO dbrole_readwrite', 'GRANT UPDATE     ON SEQUENCES TO dbrole_readwrite', 'GRANT TRUNCATE   ON TABLES    TO dbrole_admin', 'GRANT REFERENCES ON TABLES    TO dbrole_admin', 'GRANT TRIGGER    ON TABLES    TO dbrole_admin', 'GRANT CREATE     ON SCHEMAS   TO dbrole_admin']",PGSQL,PG_PROVISION,string[],G/C,default privileges when created by admin user,
904,pg_default_schemas,['monitor'],PGSQL,PG_PROVISION,string[],G/C,default schemas to be created,
905,pg_default_extensions,"[{'name': 'adminpack', 'schema': 'pg_catalog'}, {'name': 'pg_stat_statements', 'schema': 'monitor'}, {'name': 'pgstattuple', 'schema': 'monitor'}, {'name': 'pg_buffercache', 'schema': 'monitor'}, {'name': 'pageinspect', 'schema': 'monitor'}, {'name': 'pg_prewarm', 'schema': 'monitor'}, {'name': 'pg_visibility', 'schema': 'monitor'}, {'name': 'pg_freespacemap', 'schema': 'monitor'}, {'name': 'postgres_fdw', 'schema': 'public'}, {'name': 'file_fdw', 'schema': 'public'}, {'name': 'btree_gist', 'schema': 'public'}, {'name': 'btree_gin', 'schema': 'public'}, {'name': 'pg_trgm', 'schema': 'public'}, {'name': 'intagg', 'schema': 'public'}, {'name': 'intarray', 'schema': 'public'}, {'name': 'pg_repack'}]",PGSQL,PG_PROVISION,extension[],G/C,default extensions to be created,
906,pg_reload,True,PGSQL,PG_PROVISION,bool,A,reload postgres after hba changes,
907,pg_default_hba_rules,"[{'db': 'all', 'addr': 'local', 'auth': 'ident', 'user': '${dbsu}', 'title': 'dbsu access via local os user ident'}, {'db': 'replication', 'addr': 'local', 'auth': 'ident', 'user': '${dbsu}', 'title': 'dbsu replication from local os ident'}, {'db': 'replication', 'addr': 'localhost', 'auth': 'pwd', 'user': '${repl}', 'title': 'replicator replication from localhost'}, {'db': 'replication', 'addr': 'intra', 'auth': 'pwd', 'user': '${repl}', 'title': 'replicator replication from intranet'}, {'db': 'postgres', 'addr': 'intra', 'auth': 'pwd', 'user': '${repl}', 'title': 'replicator postgres db from intranet'}, {'db': 'all', 'addr': 'localhost', 'auth': 'pwd', 'user': '${monitor}', 'title': 'monitor from localhost with password'}, {'db': 'all', 'addr': 'csi', 'auth': 'pwd', 'user': '${monitor}', 'title': 'monitor from csi host with password'}, {'db': 'all', 'addr': 'csi', 'auth': 'ssl', 'user': '${admin}', 'title': 'admin @ csi nodes with pwd & ssl'}, {'db': 'all', 'addr': 'world', 'auth': 'ssl', 'user': '${admin}', 'title': 'admin @ everywhere with ssl & pwd'}, {'db': 'all', 'addr': 'localhost', 'auth': 'pwd', 'user': '+dbrole_readonly', 'title': 'pgbouncer read/write via local socket'}, {'db': 'all', 'addr': 'intra', 'auth': 'pwd', 'user': '+dbrole_readonly', 'title': 'read/write biz user via password'}, {'db': 'all', 'addr': 'intra', 'auth': 'pwd', 'user': '+dbrole_offline', 'title': 'allow etl offline tasks from intranet'}]",PGSQL,PG_PROVISION,hba[],G/C,postgres default host-based authentication rules,
908,pgb_default_hba_rules,"[{'db': 'pgbouncer', 'addr': 'local', 'auth': 'peer', 'user': '${dbsu}', 'title': 'dbsu local admin access with os ident'}, {'db': 'all', 'addr': 'localhost', 'auth': 'pwd', 'user': 'all', 'title': 'allow all user local access with pwd'}, {'db': 'pgbouncer', 'addr': 'intra', 'auth': 'pwd', 'user': '${monitor}', 'title': 'monitor access via intranet with pwd'}, {'db': 'all', 'addr': 'world', 'auth': 'deny', 'user': '${monitor}', 'title': 'reject all other monitor access addr'}, {'db': 'all', 'addr': 'intra', 'auth': 'pwd', 'user': '${admin}', 'title': 'admin access via intranet with pwd'}, {'db': 'all', 'addr': 'world', 'auth': 'deny', 'user': '${admin}', 'title': 'reject all other admin access addr'}, {'db': 'all', 'addr': 'intra', 'auth': 'pwd', 'user': 'all', 'title': 'allow all user intra access with pwd'}]",PGSQL,PG_PROVISION,hba[],G/C,pgbouncer default host-based authentication rules,
910,pgbackrest_enabled,True,PGSQL,PG_BACKUP,bool,C,enable pgbackrest on pgsql host?,
911,pgbackrest_clean,True,PGSQL,PG_BACKUP,bool,C,remove pg backup data during init?,
912,pgbackrest_log_dir,/crystaldb/log/pgbackrest,PGSQL,PG_BACKUP,path,C,"pgbackrest log dir, `/crystaldb/log/pgbackrest` by default",
913,pgbackrest_method,local,PGSQL,PG_BACKUP,enum,C,"pgbackrest repo method: local,minio,etc...",
914,pgbackrest_repo,"{'local': {'path': '/crystaldb/backup', 'retention_full': 2, 'retention_full_type': 'count'}, 'minio': {'path': '/pgbackrest', 'type': 's3', 'bundle': 'y', 's3_key': 'pgbackrest', 's3_bucket': 'pgsql', 's3_region': 'us-east-1', 'cipher_pass': 'pgBackRest', 'cipher_type': 'aes-256-cbc', 's3_endpoint': 'sss.crystaldb', 's3_uri_style': 'path', 'storage_port': 9000, 's3_key_secret': 'S3User.Backup', 'retention_full': 14, 'storage_ca_file': '/etc/pki/ca.crt', 'retention_full_type': 'time'}}",PGSQL,PG_BACKUP,dict,G/C,pgbackrest repo: https://pgbackrest.org/configuration.html#section-repository,
921,pg_weight,100,PGSQL,PG_SERVICE,int,I,"relative load balance weight in service, 100 by default, 0-255",
922,pg_service_provider,,PGSQL,PG_SERVICE,string,G/C,"dedicate haproxy node group name, or empty string for local nodes by default",
923,pg_default_service_dest,pgbouncer,PGSQL,PG_SERVICE,enum,G/C,default service destination if svc.dest='default',
924,pg_default_services,"[{'dest': 'default', 'name': 'primary', 'port': 5433, 'check': '/primary', 'selector': '[]'}, {'dest': 'default', 'name': 'replica', 'port': 5434, 'check': '/read-only', 'backup': '[? pg_role == `primary` || pg_role == `offline` ]', 'selector': '[]'}, {'dest': 'postgres', 'name': 'default', 'port': 5436, 'check': '/primary', 'selector': '[]'}, {'dest': 'postgres', 'name': 'offline', 'port': 5438, 'check': '/replica', 'backup': '[? pg_role == `replica` && !pg_offline_query]', 'selector': '[? pg_role == `offline` || pg_offline_query ]'}]",PGSQL,PG_SERVICE,service[],G/C,postgres default service definitions,
931,pg_vip_enabled,False,PGSQL,PG_SERVICE,bool,C,enable a l2 vip for pgsql primary? false by default,
932,pg_vip_address,127.0.0.1/24,PGSQL,PG_SERVICE,cidr4,C,"vip address in `<ipv4>/<mask>` format, require if vip is enabled",
933,pg_vip_interface,eth0,PGSQL,PG_SERVICE,string,C/I,"vip network interface to listen, eth0 by default",
934,pg_dns_suffix,,PGSQL,PG_SERVICE,string,C,"pgsql dns suffix, '' by default",
935,pg_dns_target,auto,PGSQL,PG_SERVICE,enum,C,"auto, primary, vip, none, or ad hoc ip",
940,pg_exporter_enabled,True,PGSQL,PG_EXPORTER,bool,C,enable pg_exporter on pgsql hosts?,
941,pg_exporter_config,pg_exporter.yml,PGSQL,PG_EXPORTER,string,C,pg_exporter configuration file name,
942,pg_exporter_cache_ttls,"1,10,60,300",PGSQL,PG_EXPORTER,string,C,"pg_exporter collector ttl stage in seconds, '1,10,60,300' by default",
943,pg_exporter_port,9630,PGSQL,PG_EXPORTER,port,C,"pg_exporter listen port, 9630 by default",
944,pg_exporter_params,sslmode=disable,PGSQL,PG_EXPORTER,string,C,extra url parameters for pg_exporter dsn,
945,pg_exporter_url,,PGSQL,PG_EXPORTER,pgurl,C,overwrite auto-generate pg dsn if specified,
946,pg_exporter_auto_discovery,True,PGSQL,PG_EXPORTER,bool,C,enable auto database discovery? enabled by default,
947,pg_exporter_exclude_database,"template0,template1,postgres",PGSQL,PG_EXPORTER,string,C,csv of database that WILL NOT be monitored during auto-discovery,
948,pg_exporter_include_database,,PGSQL,PG_EXPORTER,string,C,csv of database that WILL BE monitored during auto-discovery,
949,pg_exporter_connect_timeout,200,PGSQL,PG_EXPORTER,int,C,"pg_exporter connect timeout in ms, 200 by default",
950,pg_exporter_options,,PGSQL,PG_EXPORTER,arg,C,overwrite extra options for pg_exporter,
951,pgbouncer_exporter_enabled,True,PGSQL,PG_EXPORTER,bool,C,enable pgbouncer_exporter on pgsql hosts?,
952,pgbouncer_exporter_port,9631,PGSQL,PG_EXPORTER,port,C,"pgbouncer_exporter listen port, 9631 by default",
953,pgbouncer_exporter_url,,PGSQL,PG_EXPORTER,pgurl,C,overwrite auto-generate pgbouncer dsn if specified,
954,pgbouncer_exporter_options,,PGSQL,PG_EXPORTER,arg,C,overwrite extra options for pgbouncer_exporter,
